Title, Year, Rating, Cast
Star Wars: Episode VI - Return of the Jedi,1983,8.3,Richard Marquand; Mark Hamill; Harrison Ford; Carrie Fisher; Billy Dee Williams;
Taxi Driver,1976,8.3,Martin Scorsese; Robert De Niro; Jodie Foster; Cybill Shepherd; Albert Brooks;
Monty Python and the Holy Grail,1975,8.3,Terry Gilliam; Terry Jones; Graham Chapman; John Cleese; Eric Idle; Terry Gilliam;
The Sting,1973,8.3,George Roy Hill; Paul Newman; Robert Redford; Robert Shaw; Charles Durning;
A Clockwork Orange,1971,8.3,Stanley Kubrick; Malcolm McDowell; Patrick Magee; Michael Bates; Warren Clarke;
2001: A Space Odyssey,1968,8.3,Stanley Kubrick; Keir Dullea; Gary Lockwood; William Sylvester; Daniel Richter;
Per qualche dollaro in più,1965,8.3,Sergio Leone; Clint Eastwood; Lee Van Cleef; Gian Maria Volontè; Mario Brega;
To Kill a Mockingbird,1962,8.3,Robert Mulligan; Gregory Peck; John Megna; Frank Overton; Rosemary Murphy;
Lawrence of Arabia,1962,8.3,T.E. Lawrence; David Lean; Peter O'Toole; Alec Guinness; Anthony Quinn; Jack Hawkins;
Yôjinbô,1961,8.3,Akira Kurosawa; Toshirô Mifune; Eijirô Tôno; Tatsuya Nakadai; Yôko Tsukasa;
The Apartment,1960,8.3,Billy Wilder; Jack Lemmon; Shirley MacLaine; Fred MacMurray; Ray Walston;
North by Northwest,1959,8.3,Alfred Hitchcock; Cary Grant; Eva Marie Saint; James Mason; Jessie Royce Landis;
Vertigo,1958,8.3,Alfred Hitchcock; James Stewart; Kim Novak; Barbara Bel Geddes; Tom Helmore;
Singin' in the Rain,1952,8.3,Stanley Donen; Gene Kelly; Gene Kelly; Donald O'Connor; Debbie Reynolds; Jean Hagen;
Ikiru,1952,8.3,Akira Kurosawa; Takashi Shimura; Nobuo Kaneko; Shin'ichi Himori; Haruo Tanaka;
Rashômon,1950,8.3,Akira Kurosawa; Toshirô Mifune; Machiko Kyô; Masayuki Mori; Takashi Shimura;
All About Eve,1950,8.3,Joseph L. Mankiewicz; Bette Davis; Anne Baxter; George Sanders; Celeste Holm;
Ladri di biciclette,1948,8.3,Vittorio De Sica; Lamberto Maggiorani; Enzo Staiola; Lianella Carell; Elena Altieri;
Double Indemnity,1944,8.3,Billy Wilder; Fred MacMurray; Barbara Stanwyck; Edward G. Robinson; Byron Barr;
Citizen Kane,1941,8.3,Orson Welles; Orson Welles; Joseph Cotten; Dorothy Comingore; Agnes Moorehead;
M - Eine Stadt sucht einen Mörder,1931,8.3,Fritz Lang; Peter Lorre; Ellen Widmann; Inge Landgut; Otto Wernicke;
Metropolis,1927,8.3,Fritz Lang; Brigitte Helm; Alfred Abel; Gustav Fröhlich; Rudolf Klein-Rogge;
The Kid,1921,8.3,Charles Chaplin; Charles Chaplin; Edna Purviance; Jackie Coogan; Carl Miller;
Green Book,2018,8.2,Peter Farrelly; Viggo Mortensen; Mahershala Ali; Linda Cardellini; Sebastian Maniscalco;
Pink,III) (2016,8.2,Aniruddha Roy Chowdhury; Taapsee Pannu; Amitabh Bachchan; Kirti Kulhari; Andrea Tariang;
